air,omega,pr_wtr,pres,rhum,uwnd,vwnd,WVHT,WVHT_6h,WVHT_ord_6h
282.46385,-0.227108,12.060524,96742.936885,80.057646,3.950735,-1.233963,1.42,1.12,B
280.105748,-0.041895,11.124297,96755.405278,93.916456,3.213861,-3.840169,1.12,1.3,B
281.831876,0.138474,10.527665,96854.054884,80.231892,2.306267,-4.182926,1.3,1.63,C
283.206243,0.0688,9.794354,96965.877784,76.282997,2.305121,-1.875289,1.63,1.64,C
283.410273,0.15568,9.067927,96885.054212,74.028182,3.467353,-1.708205,1.64,1.17,B
281.979766,0.003531,8.538704,97128.035846,80.493707,2.480216,-2.082705,1.17,0.96,A
282.198399,-0.034505,11.982172,97170.722658,77.86607,1.21076,-0.354868,0.96,0.82,A
282.579799,-0.15126,17.455901,97377.70248,79.334445,0.720763,0.296853,0.82,0.76,A
283.315948,-0.106251,15.629222,97410.386519,76.776379,1.500502,0.763424,0.76,0.78,A
281.954347,0.020403,16.488788,97599.045027,83.296309,-1.456288,1.104634,0.78,0.69,A
282.301622,-0.002745,17.372527,97593.17068,82.135383,-3.031238,0.651511,0.69,0.64,A
283.460591,0.0213,21.341034,97627.140944,79.907564,-2.44481,1.386538,0.64,0.66,A
284.051268,-0.111112,20.229935,97464.712338,78.530172,-0.871742,1.939208,0.66,0.46,A
283.362186,-0.039858,24.177757,97612.207701,85.901808,-3.203859,1.850229,0.46,0.4,A
284.788025,-0.076058,23.510519,97512.6344,83.35297,-2.779464,3.480782,0.4,0.45,A
284.272193,-0.132884,25.396167,97534.279033,96.918745,-1.841282,4.003756,0.45,0.87,A
285.711212,-0.101447,25.142776,97286.448113,94.461999,0.74704,4.48942,0.87,0.89,A
284.813985,-0.190199,27.307306,97278.359461,98.044393,1.391099,3.062665,0.89,0.8,A
285.97567,-0.282662,26.160723,97134.449059,95.641676,3.41134,1.718446,0.8,0.9,A
286.154527,-0.172702,25.587485,97149.10106,92.683217,4.028844,-0.738143,0.9,1.05,B
284.949611,-0.070201,15.969201,96964.278165,89.182863,5.752085,-1.637128,1.05,1.38,B
282.417476,0.021816,13.155444,97174.477566,82.800985,3.568309,-2.958733,1.38,1.05,B
282.147004,0.082434,9.503651,97179.493443,76.390475,0.472095,-2.500577,1.05,0.75,A
281.116907,0.113067,11.162389,97452.793145,88.318447,-1.626848,-1.296613,0.75,0.668333,A
284.344403,-0.055747,11.966845,97324.092658,72.588993,-0.852084,0.804213,0.668333,0.64,A
282.736858,0.040974,19.165671,97549.168396,88.822396,-2.938495,-0.366513,0.64,1.01,A
284.447276,0.09126,26.005359,97482.620819,74.196566,-4.781936,2.081475,1.01,0.91,A
285.201574,-0.041207,29.986008,97697.87892,85.305212,-4.485466,2.134762,0.91,0.78,A
285.90559,-0.158317,28.678129,97674.469532,87.078562,-2.960391,2.560349,0.78,0.67,A
286.550189,0.075154,32.314091,97806.238778,83.177815,-2.891874,0.759534,0.67,0.743,A
287.511409,0.012184,25.764339,97634.096487,73.783534,-4.048268,2.475035,0.743,0.71,A
287.10431,-0.089293,25.897477,97747.357172,81.303865,-2.842937,2.364329,0.71,0.65,A
288.550366,-0.154631,23.912458,97475.419617,75.587771,-1.926886,4.590172,0.65,0.56,A
287.271061,-0.110132,31.300877,97573.929422,86.744843,-1.135261,3.161541,0.56,1.2,B
287.111734,-0.224566,24.698173,97565.193826,89.168931,2.52698,2.380185,1.2,1.17,B
286.759534,-0.230022,17.466225,97720.673416,91.674822,2.622559,0.102192,1.17,1.03,B
286.026359,-0.116866,12.779196,97630.718167,92.366329,2.066975,-0.119241,1.03,1.02,B
284.751412,-0.057219,16.993967,97695.126227,93.795276,1.484728,0.440735,1.02,0.92,A
284.937704,-0.09751,18.131395,97560.163421,87.391048,0.666348,0.461656,0.92,1.41,B
284.669756,-0.180887,18.889674,97563.764075,91.561537,1.841818,2.217354,1.41,1.58,B
285.148643,-0.212385,22.178961,97247.303811,94.399436,3.467567,2.036543,1.58,1.48,B
284.990611,-0.289117,25.09503,97264.291952,96.469102,3.999105,5.137869,1.48,1.43,B
285.700808,-0.167967,17.511193,97068.049712,93.409496,5.092197,2.622177,1.43,1.74,C
285.436558,-0.151268,16.394877,97202.183211,93.858908,3.989174,1.964205,1.74,1.41,B
285.091897,-0.265052,16.307062,97065.329246,96.910587,3.316669,1.872257,1.41,2.06,C
283.884833,-0.130377,19.43241,97060.035374,97.451545,1.42365,1.305604,2.06,2.75,D
284.020174,-0.209294,16.823157,96866.729355,89.038261,2.384723,3.858563,2.75,2.84,E
284.157096,-0.151293,19.798516,96976.033169,92.943741,1.106867,0.721149,2.84,1.9,C
283.584079,-0.019053,12.397123,96897.791322,87.59933,3.554635,-1.30338,1.9,1.93,C
283.054299,0.036822,9.080681,97087.961269,82.373089,2.188653,-3.390652,1.93,1.73,C
281.136909,0.17567,10.054044,97162.50913,84.460542,0.910726,-3.827405,1.73,2.06,C
282.603172,0.09737,10.185826,97334.363389,80.618121,0.638653,-2.563187,2.06,1.54,B
283.782645,0.057977,12.083729,97256.401066,80.195036,2.383906,-3.835515,1.54,1.5,B
283.174037,0.08015,10.609993,97411.271013,76.591173,-1.519824,-3.899686,1.5,1.33,B
282.415596,0.17978,12.576287,97385.814383,79.439131,-0.527812,-4.394507,1.33,1.27,B
283.849574,0.107355,10.246062,97414.198914,78.35447,0.818274,-3.577084,1.27,1.31,B
285.88422,0.115761,10.747818,97238.358804,79.568184,3.597333,-3.419118,1.31,1.5,B
283.256858,0.08398,8.298429,97255.098119,80.079401,2.037444,-4.081302,1.5,1.49,B
281.776515,0.066075,7.7348,97213.107967,81.781964,1.324619,-2.931619,1.49,1.37,B
282.671249,0.053917,8.10791,97370.745431,86.018667,0.334915,-1.946137,1.37,1.236667,B
284.486974,-0.023045,8.476937,97213.076686,76.271149,0.412524,0.056344,1.236667,1.22,B
281.712721,0.221873,7.359143,97389.396093,79.906885,-0.100757,-2.395881,1.22,1.27,B
280.656625,-0.027279,7.736211,97284.41646,87.991269,-0.269186,-1.342624,1.27,1.64,C
281.972387,-0.117427,9.200686,97560.68776,85.46563,-0.68477,-1.315222,1.64,1.47,B
285.408206,-0.118922,9.68687,97284.04236,67.801664,2.674117,-0.943392,1.47,1.598333,C
281.691524,0.046927,7.271787,97395.351436,81.972544,-0.131595,-2.475354,1.598333,1.566667,B
283.192728,0.024471,7.45014,97369.012429,70.401338,0.065775,-1.464532,1.566667,1.49,B
283.559117,0.117057,9.214626,97550.430609,77.610643,-0.811389,0.032079,1.49,1.23,B
285.141566,0.029338,10.527365,97505.966044,66.98206,1.916403,-0.089224,1.23,1.05,B
283.32399,0.078973,11.307856,97643.45586,83.350444,1.172705,-0.688156,1.05,1.09,B
