air,omega,pr_wtr,pres,rhum,uwnd,vwnd,WVHT,WVHT_6h,WVHT_ord_6h
283.583427,-0.193138,11.144877,99823.258559,72.071406,7.376952,-3.839737,2.35,2.87,C
282.899217,-0.016509,10.800061,99948.689863,82.506368,4.293053,-5.720825,2.87,3.21,D
284.533148,0.103622,11.128615,100033.135722,75.225348,3.601682,-7.387217,3.21,2.8,C
285.51428,0.0609,11.03282,100138.857855,71.349037,6.045946,-5.569288,2.8,2.44,C
284.882442,0.116357,10.737549,100068.401013,75.299447,5.669473,-5.46009,2.44,2.39,C
284.488386,0.009582,11.202132,100261.823727,75.512663,4.105499,-4.685974,2.39,1.92,B
284.929225,0.012173,15.529646,100242.509665,69.924138,3.123762,-1.887605,1.92,2.1,C
284.89594,-0.064976,20.395329,100427.914962,74.672687,1.145436,0.528272,2.1,1.96,B
285.089891,-0.032104,18.883413,100383.181602,77.51052,0.556023,2.237169,1.96,2.66,C
284.661271,0.033746,21.147213,100595.509896,82.065432,-1.269032,2.518774,2.66,2.15,C
284.972402,0.030058,22.359458,100510.107617,83.052343,-3.693226,2.831347,2.15,2.08,C
285.703178,0.04654,26.482387,100572.21639,82.09932,-4.608018,3.826164,2.08,1.76,B
285.895344,-0.067557,26.213934,100396.086832,85.848035,-3.189153,6.155166,1.76,1.34,A
286.302863,-0.053473,29.396267,100524.887041,90.484114,-2.458936,5.626231,1.34,0.85,A
287.122283,-0.077396,29.376944,100460.362278,90.809967,-1.313305,5.782134,0.85,1.03,A
286.457091,-0.066,29.081784,100484.724072,100.0,-1.628002,5.377085,1.03,1.1,A
287.156171,-0.03353,29.276385,100268.116241,99.648484,0.661087,5.087728,1.1,1.16,A
286.98822,-0.103909,30.553967,100271.898206,99.472726,2.121643,2.93056,1.16,1.32,A
287.657764,-0.164898,31.154876,100129.503936,97.641826,3.394729,-0.057123,1.32,1.09,A
287.515508,-0.084409,28.657386,100230.751626,92.103439,3.201918,-3.36667,1.09,1.19,A
285.825099,-0.019483,19.218325,100118.94267,89.153745,4.095301,-4.981622,1.19,1.54,B
284.97301,0.040177,16.95036,100279.140609,78.887637,3.593721,-6.365646,1.54,1.63,B
285.591107,0.080834,14.044503,100261.608909,66.952795,2.385197,-5.499905,1.63,1.34,A
284.706923,0.073222,15.917277,100437.411294,77.841176,-0.844079,-1.291201,1.34,1.08,A
286.617795,-0.055823,17.907199,100261.969955,72.114278,-1.711293,1.458199,1.08,1.03,A
286.128987,0.023832,25.901971,100415.928414,84.057481,-3.171751,3.698812,1.03,1.07,A
287.842151,0.06144,33.327373,100296.384645,78.663094,-4.586445,7.169075,1.07,1.19,A
287.84434,-0.017234,34.242549,100537.308054,88.638116,-4.491999,5.705245,1.19,1.19,A
287.308946,-0.109453,34.328974,100510.141364,93.817142,-3.888724,5.775773,1.19,1.14,A
288.323855,0.039944,36.009273,100620.052736,87.984265,-3.429822,5.18557,1.14,1.0,A
289.162437,0.015316,29.433516,100439.886874,78.717413,-4.931903,6.987726,1.0,1.06,A
288.04561,-0.04484,30.694896,100583.069709,88.829715,-1.8586,7.548535,1.06,1.0,A
288.871916,-0.066002,29.188516,100337.30061,86.056797,-1.993764,7.571659,1.0,1.26,A
288.2265,-0.055813,34.851905,100529.940867,95.261212,1.854545,5.270908,1.26,1.67,B
288.342049,-0.092269,24.181356,100527.936393,92.064139,3.99657,1.319593,1.67,1.58,B
288.232986,-0.117796,16.879326,100771.598111,90.740262,3.174898,0.23669,1.58,1.69,B
287.413956,-0.026621,13.563515,100659.526439,92.227765,1.965895,0.859696,1.69,1.5,B
287.083157,-0.03761,17.995207,100740.16146,87.192176,3.131093,1.688736,1.5,1.73,B
286.947285,-0.062113,20.217877,100571.318376,84.901699,2.286177,1.628931,1.73,1.86,B
286.754944,-0.079522,21.980168,100599.822903,87.441043,2.812019,3.706265,1.86,1.93,B
286.754378,-0.125744,25.386491,100280.43481,93.15315,4.423174,4.78566,1.93,2.04,C
287.634063,-0.156425,26.678338,100279.114313,90.448933,5.431914,6.368314,2.04,2.65,C
288.045539,-0.038878,19.342227,100070.432679,89.094256,6.882799,2.230407,2.65,2.46,C
287.302156,-0.044131,18.099633,100198.306887,89.38677,5.238144,0.093362,2.46,2.82,C
286.333492,-0.131667,18.92373,100141.734027,95.921934,2.868564,0.944645,2.82,3.03,C
286.070697,-0.103163,21.635216,100113.726185,94.575101,2.354988,2.746911,3.03,2.81,C
285.886612,-0.098404,20.275657,99844.167356,87.915229,4.795259,2.508756,2.81,2.92,C
285.963915,-0.123527,18.933506,100005.782798,86.492367,5.44988,-1.024312,2.92,2.51,C
285.204752,-0.021729,10.273228,99991.945045,78.613578,5.460183,-6.344493,2.51,2.52,C
284.770686,-0.022207,7.969502,100243.071877,75.271199,4.871019,-6.425514,2.52,2.5,C
283.507047,0.10595,9.532725,100274.85833,74.950545,3.484378,-6.408737,2.5,2.5,C
284.684952,0.062243,9.658801,100453.13298,72.831584,2.680333,-4.845875,2.5,2.17,C
285.330519,0.099483,11.38046,100352.406589,71.852792,2.924446,-7.577469,2.17,2.15,C
285.691938,0.075309,10.29434,100506.576066,69.744944,-0.126706,-6.182454,2.15,2.19,C
285.257186,0.127875,12.628199,100475.673029,73.443795,0.481661,-6.507062,2.19,2.29,C
286.137554,0.079417,10.367141,100547.502678,74.057709,3.038863,-6.708595,2.29,2.25,C
287.068815,0.058964,10.714488,100387.895675,71.869819,5.985175,-7.032844,2.25,2.56,C
285.996368,0.016658,10.600928,100414.003191,74.473638,5.961828,-7.184737,2.56,2.43,C
284.838102,0.015534,11.855477,100338.152296,75.576119,5.580845,-5.833551,2.43,2.31,C
285.478422,-0.001708,13.312161,100482.47912,78.322357,4.371827,-6.013666,2.31,2.01,B
285.698284,-0.010516,12.84393,100253.966077,75.737877,3.445166,-3.884652,2.01,2.0,B
284.797671,0.139998,10.552506,100449.461536,75.116756,2.104532,-5.250014,2.0,2.32,C
284.616862,-0.067085,9.346562,100316.879363,80.325792,1.434953,-2.887001,2.32,1.86,B
285.445001,-0.153584,9.935356,100523.770408,76.746176,1.686307,-1.733139,1.86,2.07,C
286.932709,-0.078501,11.338831,100282.728574,68.905683,2.914169,-2.701901,2.07,2.36,C
285.499202,-0.004223,9.552875,100436.047324,75.14976,1.870208,-3.558742,2.36,2.17,C
286.874167,-0.026798,10.085346,100383.284691,66.270014,1.19609,-2.027449,2.17,2.16,C
286.498441,0.077477,11.225407,100557.335133,70.933958,1.031059,-0.389477,2.16,1.52,B
286.568641,-0.003032,12.51421,100513.720701,68.054486,2.331348,-0.066335,1.52,1.55,B
286.162791,0.037704,14.910818,100683.822718,76.655036,2.07252,0.461204,1.55,1.71,B
286.470911,-0.010903,15.643655,100591.727931,71.174967,0.78995,3.026684,1.71,1.87,B
284.829243,-0.050399,22.769007,100634.912436,88.500319,-0.431564,4.930272,1.87,2.48,C
285.939481,0.009555,27.731629,100357.906756,82.781781,-0.683392,5.374513,2.48,2.41,C
286.441453,-0.152347,26.93481,100133.372419,91.050822,-0.092197,8.786372,2.41,2.4,C
286.813775,-0.127851,14.902139,99943.126595,89.278815,6.807117,1.370268,2.4,3.14,D
286.841585,-0.104832,14.025951,100141.471034,82.825837,5.838584,-1.952095,3.14,2.93,C
286.189316,-0.018382,15.190815,99854.592582,82.845859,6.110928,-0.168065,2.93,3.21,D
285.889436,-0.0242,21.363014,99769.468079,87.075252,4.373583,2.441432,3.21,3.84,D
285.972526,-0.108514,24.232957,99137.797755,88.09082,4.25675,8.794903,3.84,4.2,D
287.055714,-0.15989,20.258614,98684.09881,88.900452,9.813433,4.143774,4.2,4.64,E
285.178837,-0.214616,14.753763,98572.528537,86.067575,12.596086,-3.851951,4.64,4.98,E
284.945372,-0.066478,13.990404,99000.819455,77.42993,10.220171,-3.752769,4.98,5.49,E
285.266501,0.026216,14.45642,99363.498161,75.917266,9.400051,-4.721711,5.49,7.14,E
284.690832,0.018501,17.250151,100033.608221,82.682507,5.444228,-1.496228,7.14,7.68,E
285.40616,-0.017368,17.825841,100046.892277,82.68719,2.462918,2.880071,7.68,6.31,E
285.367388,0.042983,24.55706,100187.455675,83.362355,-3.054986,7.96726,6.31,4.99,E
286.174209,-0.103611,27.823232,99833.736483,85.029675,-5.390516,10.478331,4.99,4.86,E
287.421717,-0.103322,26.213119,99838.323893,89.944905,-2.732431,8.628706,4.86,4.42,E
286.551703,-0.159163,17.914982,99552.923481,91.903842,6.704569,5.133102,4.42,4.3,D
285.639839,-0.153447,11.624695,99740.482708,76.411777,10.151764,3.271139,4.3,4.3,D
285.564023,-0.11316,13.088711,99754.57221,73.43411,9.228601,1.735722,4.3,4.48,E
284.64981,-0.134812,11.537017,99896.975146,78.396423,7.305645,-0.849479,4.48,4.03,D
284.128763,-0.062331,10.36051,99871.014803,78.782905,7.151373,-5.103117,4.03,4.72,E
284.115353,-0.023117,9.181103,100027.857213,68.141489,7.11825,-3.415458,4.72,5.29,E
283.822467,0.016857,12.049392,99989.475522,72.870061,5.339532,-1.672673,5.29,4.97,E
283.750432,-0.080412,11.452261,100234.913048,74.944905,3.452721,-0.699663,4.97,4.31,D
284.872451,0.059788,12.74024,100246.119211,70.021208,1.370276,-2.39879,4.31,4.19,D
284.563941,0.076377,9.262182,100681.26957,69.883927,-1.205245,-3.567248,4.19,3.65,D
283.273459,0.063815,6.941381,100908.29077,72.727917,-1.529469,-4.313853,3.65,2.55,C
284.732867,0.020257,7.162535,101192.196182,66.753579,-0.012542,-3.562908,2.55,2.51,C
284.744605,-0.02166,8.583212,101126.995517,65.049864,2.754915,-4.683604,2.51,2.51,C
284.436419,-0.060624,8.464108,101279.008047,70.942928,2.85711,-5.733629,2.51,2.28,C
284.776118,0.07441,8.575434,101285.236269,64.658807,2.457091,-6.493798,2.28,2.28,C
285.432508,0.084516,8.549898,101406.904758,67.586958,2.473453,-5.684356,2.28,3.62,D
285.852047,-0.020652,10.319524,101250.331286,61.994862,3.066147,-7.187074,3.62,4.51,E
286.066584,0.164726,8.558482,101387.94385,66.049864,-0.790956,-7.188805,4.51,3.93,D
285.445769,0.146672,6.214983,101436.338133,63.182933,-5.084117,-5.667949,3.93,3.91,D
286.201438,0.142498,5.551829,101847.431205,52.039496,-4.803129,-2.729862,3.91,3.16,D
287.326261,0.197642,6.816171,101713.160782,44.281401,-2.083913,-2.443229,3.16,2.87,C
287.073155,0.153281,5.737856,101779.713745,53.921721,-1.595672,-4.937815,2.87,2.47,C
287.243182,0.111219,5.984582,101666.575455,54.098436,-0.237497,-2.901673,2.47,2.39,C
287.771434,0.086144,5.650633,101705.863661,56.613913,-1.927444,-3.311288,2.39,1.95,B
290.094515,0.0801,6.151147,101480.779291,54.471876,2.361668,-3.633925,1.95,1.8,B
287.26219,0.080163,6.904927,101415.328377,74.765576,0.434086,-3.911002,1.8,1.89,B
289.666689,0.056708,6.105829,101207.00477,57.150477,0.070983,-4.531845,1.89,1.86,B
287.820072,0.107985,6.236926,101273.04737,65.055203,-0.071775,-2.941058,1.86,1.88,B
290.845865,0.049162,7.319859,100899.656272,55.716093,2.3793,-4.337065,1.88,1.82,B
287.739923,0.034678,7.584183,100796.328408,73.355803,1.583905,-4.430062,1.82,1.93,B
290.279199,0.058157,6.916291,100623.736049,55.128205,0.275705,-2.462725,1.93,2.05,C
288.701935,0.000245,7.702407,100776.628502,65.308417,-1.196879,-1.227417,2.05,1.83,B
291.179389,-0.024431,7.779145,100588.388822,56.533402,1.071121,-1.669517,1.83,1.82,B
289.240354,-0.025049,7.595456,100594.997725,62.357598,1.351931,-1.340555,1.82,1.46,A
288.580202,0.034399,6.802065,100446.631244,63.52659,-0.21576,-0.867054,1.46,1.6,B
288.388875,-0.034789,8.276231,100553.172488,69.736371,-0.426478,2.18022,1.6,1.45,A
288.486917,-0.11113,8.479629,100353.171416,75.529389,0.910256,3.8098,1.45,1.21,A
286.652861,0.041885,8.703158,100360.268777,87.164236,-0.612601,2.432841,1.21,1.02,A
287.262047,0.036188,8.807541,100284.492374,78.021817,-1.906246,4.699337,1.02,1.02,A
287.509341,-0.117849,12.076058,100395.062017,79.065023,-0.189416,5.115182,1.02,1.24,A
286.887115,-0.054443,13.380853,100196.826428,77.428945,-1.984092,7.124232,1.24,1.17,A
286.335268,0.00909,19.417958,100314.804324,86.443112,-3.399243,5.498827,1.17,1.56,B
286.330763,0.000728,23.175153,100248.440187,87.829943,-4.508443,6.206495,1.56,1.79,B
287.2037,-0.047222,21.606794,100462.123947,86.062499,-4.174931,4.836512,1.79,2.17,C
287.60828,-0.027771,22.330766,100276.318209,91.272827,-3.025969,6.148094,2.17,2.53,C
286.748972,0.013077,23.753192,100334.094674,98.097753,-1.696324,4.895154,2.53,2.15,C
287.718991,-0.024412,23.356789,100217.657118,95.543799,0.289742,5.487394,2.15,2.2,C
287.618156,-0.140881,19.102145,100432.641615,95.074234,2.62219,4.265713,2.2,2.31,C
286.638149,-0.018974,18.261229,100346.978625,97.327997,1.723098,1.796873,2.31,2.57,C
286.329235,0.056158,18.447856,100549.450278,99.04123,0.819052,0.552886,2.57,2.76,C
286.170491,0.056814,17.083406,100552.566065,95.724513,1.233022,-0.561867,2.76,2.67,C
286.015025,0.02415,19.108744,100700.440734,95.947657,1.756475,-1.03623,2.67,2.39,C
285.706825,-0.028762,15.658116,100436.947619,93.222628,3.165877,-1.726688,2.39,2.38,C
286.177057,-0.01407,17.500397,100544.257057,88.368269,2.601434,-2.393145,2.38,2.27,C
285.763405,0.023258,15.572548,100279.095453,86.646234,1.616574,-0.671183,2.27,2.11,C
285.854853,-0.04973,19.128954,100296.756362,91.109777,0.334157,2.149046,2.11,1.83,B
286.031049,-0.00055,20.832856,100038.246522,92.164538,-0.017006,5.842514,1.83,1.56,B
286.978377,-0.036518,24.623455,100072.476812,91.73631,-1.919003,8.274851,1.56,1.64,B
288.250509,0.019652,25.52524,99942.255161,91.459363,2.76766,7.723987,1.64,2.08,C
288.594336,-0.081569,25.631383,100271.977109,92.459089,2.675997,3.207677,2.08,1.66,B
286.901748,-0.022162,26.872304,100196.580926,98.382544,0.978087,2.965116,1.66,1.74,B
286.849715,0.059327,30.104825,100326.748918,97.13351,1.017509,4.602197,1.74,1.67,B
288.184278,-0.017034,24.724396,100351.866438,92.844431,2.159782,5.651787,1.67,1.74,B
288.156171,-0.150235,27.897664,100610.20023,94.994253,3.67459,5.77738,1.74,1.72,B
287.335489,-0.084578,30.555579,100464.744904,99.283605,4.164812,3.479063,1.72,1.56,B
286.803707,-0.030511,31.666319,100681.133826,100.0,1.685612,2.83254,1.56,1.7,B
287.430736,0.129362,29.191511,100665.133029,97.774378,2.269241,1.594508,1.7,1.67,B
287.747596,0.131372,27.675549,100825.453495,97.884429,-0.080471,0.658915,1.67,1.77,B
287.949871,0.016564,24.514057,100480.327322,98.785491,1.415099,1.673224,1.77,1.69,B
287.010218,0.03126,25.528858,100590.0707,99.392745,3.100894,0.761104,1.69,1.43,A
287.634742,0.097682,23.530871,100353.373169,93.089011,1.455592,0.876903,1.43,1.27,A
288.346692,-0.024372,27.486586,100429.590133,90.455927,2.176825,1.982035,1.27,1.32,A
287.568834,-0.004389,26.840652,100193.562743,94.544134,2.470825,0.987011,1.32,1.35,A
287.71612,-0.048672,32.439939,100332.131115,96.963727,2.444725,1.378329,1.35,2.01,B
288.141086,0.050317,32.060456,100216.683554,92.982456,1.222397,0.471498,2.01,2.01,B
287.99314,-0.134778,32.517445,100436.868105,97.034297,3.859744,0.313453,2.01,2.14,C
288.091469,-0.185665,27.042261,100369.048166,92.159172,0.915651,-1.238604,2.14,2.03,C
286.661508,-0.042586,21.038196,100464.834756,97.329289,2.836451,-3.612278,2.03,2.42,C
285.741779,0.066284,15.248828,100556.485628,92.284563,5.000847,-8.43547,2.42,2.99,C
285.624271,-0.029193,9.995436,100764.010957,77.761698,7.567864,-8.054723,2.99,3.48,D
283.882299,-0.112816,11.173844,100569.335069,87.404542,6.544141,-8.497883,3.48,3.26,D
285.60815,-0.035149,12.486541,100651.160583,79.595123,3.447746,-7.147626,3.26,2.82,C
285.799964,0.141647,12.903468,100621.664711,81.25101,2.721324,-8.225755,2.82,2.33,C
287.088233,0.056979,12.505119,100730.348305,75.917541,2.293433,-5.242889,2.33,2.47,C
288.807592,-0.043885,10.476758,100478.815731,66.732739,6.824083,-6.218654,2.47,2.14,C
286.35967,0.005553,10.01344,100520.094425,83.493386,4.16902,-6.84312,2.14,2.11,C
287.109013,0.091119,10.426351,100372.95298,76.135547,3.891145,-5.53984,2.11,2.22,C
286.859637,0.026853,12.602045,100628.593468,81.997066,4.716538,-6.497682,2.22,2.3,C
287.845844,-0.026755,13.278488,100371.575011,73.256851,5.902699,-5.523218,2.3,2.14,C
286.579368,0.005232,15.095771,100462.710957,87.112028,4.86942,-5.548124,2.14,1.85,B
286.212747,0.087914,17.991953,100352.809161,87.637264,2.721763,-4.493045,1.85,1.95,B
286.961999,0.012231,19.16422,100543.466223,85.56078,3.812763,-4.587705,1.95,1.48,A
288.812353,-0.008847,15.823735,100380.972067,70.543209,4.238568,-2.967301,1.48,1.48,A
286.369277,0.024012,14.457359,100520.268179,84.456201,2.190838,-5.109765,1.48,1.12,A
288.595179,0.051519,14.025069,100344.985258,74.724513,1.132942,-1.359786,1.12,1.22,A
287.393836,0.036516,18.227723,100590.736877,79.459182,1.221447,-0.772257,1.22,1.14,A
289.817019,0.023454,19.620644,100338.00177,72.854559,2.362433,-0.022636,1.14,1.13,A
287.415467,-6.9e-05,22.002076,100489.527972,86.380266,2.594596,1.430348,1.13,1.39,A
287.651003,-0.006943,21.159986,100230.894683,77.283424,3.780821,1.002091,1.39,1.71,B
288.124647,-0.142773,25.77963,100337.438209,81.818147,4.439486,2.121373,1.71,2.32,C
286.964508,-0.03777,28.152994,100000.906079,93.780353,0.627453,1.661098,2.32,2.93,C
286.871255,0.00316,30.699558,99726.923283,96.673189,-2.153574,4.341508,2.93,2.96,C
287.259467,-0.074597,31.368808,98897.534855,92.497157,-5.416981,11.988401,2.96,3.25,D
288.071618,-0.113634,29.44488,98256.259823,90.661741,0.656225,14.833326,3.25,3.99,D
286.544907,-0.083192,19.216333,97855.741432,85.485601,6.144242,9.192588,3.99,4.01,D
286.52238,0.010511,19.69987,98266.348339,83.081911,4.478503,0.791521,4.01,3.27,D
285.651277,-0.006973,20.549331,98512.910567,90.258901,5.318078,-2.909557,3.27,5.49,E
285.364823,-0.074017,18.253351,98997.089493,89.282312,8.717795,-7.186981,5.49,5.24,E
285.432732,-0.070555,15.563325,99186.489903,85.400087,11.439573,-8.088948,5.24,5.58,E
285.324499,-0.011402,15.364323,99556.409316,75.268721,8.614286,-6.905613,5.58,4.28,D
285.296834,0.086145,17.050869,99776.630967,74.593617,6.463166,-5.873829,4.28,3.44,D
285.369016,0.110289,23.026502,100060.37902,78.033065,3.208879,-0.211323,3.44,2.62,C
285.864327,0.049141,27.864895,100130.485726,82.587294,1.6964,5.053447,2.62,2.12,C
285.873205,0.019274,33.907159,100404.0325,95.154276,-1.505957,6.105469,2.12,2.17,C
286.729169,-0.062158,33.022423,100431.863085,94.978792,-0.530652,7.217344,2.17,2.37,C
286.647404,-0.010834,32.174263,100771.519656,98.05105,-1.211411,6.958518,2.37,2.96,C
286.731717,-0.073102,27.225319,100721.551733,97.726215,-2.012707,7.627765,2.96,2.71,C
287.50869,-0.035155,24.445981,101025.390709,93.467937,-0.439937,6.066086,2.71,2.56,C
288.05442,-0.008578,23.484919,101023.342151,91.502569,-0.956892,5.370784,2.56,2.4,C
287.397919,-0.083699,21.340134,101249.186213,93.87061,1.596327,2.980509,2.4,2.79,C
288.208683,-0.050784,15.524928,101021.408077,81.160874,3.026865,-0.60282,2.79,2.62,C
286.902294,-0.047154,14.605792,101022.598293,83.531285,4.28604,-3.239091,2.62,2.62,C
285.890505,0.022994,12.273063,100885.827954,80.055397,3.59825,-6.50091,2.62,2.79,C
285.903801,0.030473,11.357071,100892.75049,71.021891,5.500423,-7.43014,2.79,3.17,D
284.917693,-0.041956,9.048415,100672.338193,72.874957,7.539087,-9.11531,3.17,3.76,D
284.972,-0.009111,7.376269,100813.061842,71.382316,5.697047,-10.102556,3.76,3.69,D
284.470148,0.08568,6.987199,100669.144574,63.53489,4.977175,-10.976456,3.69,2.86,C
282.498405,-0.010749,6.417016,100817.290462,72.417905,4.360069,-9.91477,2.86,2.86,C
283.197641,0.080114,7.880038,100639.638516,67.711196,6.782071,-9.213795,2.86,3.1,C
283.665201,0.016986,6.845382,100763.469116,67.636078,4.622692,-9.528074,3.1,2.35,C
283.637092,0.039989,6.873973,100753.431404,60.675165,1.876088,-8.628381,2.35,2.22,C
284.347031,0.010615,7.143331,101028.497546,58.227598,2.707576,-5.604157,2.22,2.05,C
284.675013,-0.019609,6.506036,100826.384071,54.280718,5.130139,-6.422683,2.05,1.91,B
284.788358,0.032868,8.921926,100858.484618,63.877771,3.401387,-5.869367,1.91,1.73,B
284.472201,0.040005,7.650154,100647.383031,59.616666,2.809868,-5.125039,1.73,2.06,C
285.14419,-0.093195,13.722204,100661.455975,64.812064,3.089687,-3.960433,2.06,1.75,B
284.18441,-0.1178,14.844429,100369.679096,70.27836,5.750549,-4.070077,1.75,1.71,B
284.644923,-0.109979,14.384874,100253.425019,72.875018,5.044356,-1.462948,1.71,1.4,A
283.893877,0.028676,16.934863,100044.779414,79.661848,1.62458,-0.619064,1.4,1.64,B
284.460893,-0.068835,13.275042,100129.158226,84.087081,0.232645,-0.389022,1.64,1.88,B
284.387817,-0.044804,13.817651,99965.559003,80.480101,1.546228,0.32954,1.88,1.63,B
284.429588,-0.026934,15.8364,99947.770681,81.78961,-0.838771,1.090859,1.63,1.73,B
284.803694,-0.065393,18.683152,99764.579483,85.603013,-1.388504,-1.990917,1.73,1.89,B
285.832456,0.017425,16.353926,99876.787071,77.469732,0.210114,-3.363994,1.89,1.8,B
285.238877,-0.124107,13.009414,99790.896057,74.42262,4.791234,-6.9967,1.8,2.58,C
284.192426,-0.12862,8.052212,100029.532548,77.294657,6.619759,-8.800439,2.58,2.63,C
283.878662,0.046663,7.829475,100317.903441,71.929611,4.647863,-8.163277,2.63,2.74,C
285.24046,-0.058103,7.717151,100757.063176,63.601098,5.231149,-6.362289,2.74,2.41,C
285.432883,-0.084211,9.55527,100826.329952,64.324928,5.3193,-8.843193,2.41,2.81,C
285.10989,0.030815,8.585806,101020.383275,71.048572,1.394658,-7.120694,2.81,2.39,C
285.07148,0.066842,6.301783,101031.71837,68.76299,0.301561,-5.612566,2.39,1.91,B
